nct_id,group_id,period_index,period_title,flow_title,protocol_label,arm_type,started,completed,noncompleted,attrition,count_valid,reason_sum,reason_reconciles,qc_flags
NCT01189812,FG001,0,Overall Study,Lithium,Lithium,ACTIVE_COMPARATOR,40,32,8,0.19999999999999996,True,8,True,
NCT01197508,FG000,0,Overall Study,0.1 mg BID TC-5214,0.1 mg BID TC-5214,EXPERIMENTAL,174,151,23,0.13218390804597702,True,23,True,
NCT01197508,FG001,0,Overall Study,1 mg BID TC-5214,1 mg BID TC-5214,EXPERIMENTAL,174,144,30,0.1724137931034483,True,30,True,
NCT01197508,FG002,0,Overall Study,4 mg BID TC-5214,4 mg BID TC-5214,EXPERIMENTAL,174,125,49,0.2816091954022989,True,49,True,
NCT01197508,FG003,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,174,158,16,0.09195402298850575,True,16,True,
NCT01254305,FG000,0,Overall Study,Placebo,,,93,71,22,0.23655913978494625,True,22,True,
NCT01254305,FG001,0,Overall Study,Levomilnacipran ER,,,90,72,18,0.19999999999999996,True,18,True,
NCT01254305,FG002,0,Overall Study,SSRI,,,79,62,17,0.21518987341772156,True,17,True,
NCT01255787,FG000,0,Overall Study,Placebo,Placebo,EXPERIMENTAL,152,136,16,0.10526315789473684,True,16,True,
NCT01255787,FG001,0,Overall Study,Vortioxetine 5 mg,Vortioxetine 5 mg,EXPERIMENTAL,144,127,17,0.11805555555555558,True,17,True,
NCT01255787,FG002,0,Overall Study,Vortioxetine 10 mg,Vortioxetine 10 mg,EXPERIMENTAL,150,132,18,0.12,True,18,True,
NCT01255787,FG003,0,Overall Study,Vortioxetine 20 mg,Vortioxetine 20 mg,EXPERIMENTAL,154,132,22,0.1428571428571429,True,22,True,
NCT01312922,FG000,0,Overall Study,PNB01,PNB01,EXPERIMENTAL,185,117,68,0.3675675675675676,True,,,
NCT01312922,FG001,0,Overall Study,Citalopram,citalopram,ACTIVE_COMPARATOR,185,131,54,0.2918918918918919,True,,,
NCT01312922,FG002,0,Overall Study,Pipamperone,pipamperone,SHAM_COMPARATOR,185,135,50,0.2702702702702703,True,,,
NCT01355081,FG000,0,Overall Study,Vortioxetine 5 mg,Vortioxetine 5 mg,EXPERIMENTAL,119,112,7,0.05882352941176472,True,7,True,
NCT01355081,FG001,0,Overall Study,Vortioxetine 10 mg,Vortioxetine 10 mg,EXPERIMENTAL,123,113,10,0.08130081300813008,True,10,True,
NCT01355081,FG002,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,124,113,11,0.08870967741935487,True,11,True,
